Credit_Limit,Avg_Purchase
20795,7585
5860,2291
59886,4581
11265,8554
42194,8280
49131,2636
65263,4696
21023,1698
46090,5737
72221,1854
69820,9164
5769,6855
64735,8392
67955,7528
69925,6249
72969,6172
10311,2707
58707,6791
33693,6535
76932,5931
30658,4510
23431,1202
7747,5218
64150,9958
70725,5389
40773,3327
72435,9004
61886,3931
71803,8777
36551,1197
16394,8125
74092,2930
8890,7287
46606,9800
15627,5282
13792,3511
78969,1659
48001,3811
28897,8098
73148,7546
28483,2986
53555,9338
22159,3911
40920,2734
72121,2843
74479,9680
24457,3976
71557,2959
57995,6759
45757,7694
14692,3385
50758,5736
77409,2802
76211,9155
70697,9120
42065,7616
37606,6534
16534,5061
45397,1262
6016,7287
60591,9815
28247,3049
29300,6423
79065,5548
14268,4108
17185,8158
68704,8400
44099,4170
13571,3255
43044,2154
56214,5499
66228,7295
53984,7197
45774,2648
7568,6539
67592,5199
72563,9445
7695,3557
53190,6592
10258,1098
44504,3200
38159,3961
18986,5973
66858,5433
17666,3869
43660,1956
8561,9352
31854,6699
69505,7944
57251,5493
27662,5911
13392,4987
35535,7015
57256,2218
40222,5496
68335,5735
15965,5555
29538,9050
75592,4446
13110,2045
32266,7893
57992,2693
11910,4436
5206,9754
28419,6895
55636,4354
55015,1225
59268,5893
23141,8022
76910,6600
61044,8996
72214,8683
38827,5642
60820,8679
67623,9208
27299,8339
48585,3205
69044,2069
47557,4444
54080,2060
7693,3327
74163,4420
30939,1301
53925,1606
47941,4170
26834,1699
23047,6088
31105,1190
20707,1980
26976,3975
49262,7102
28776,2184
35080,4327
71842,4394
66373,9319
11776,2816
60016,6854
14474,7709
63053,1569
26959,6442
10530,2895
8748,3733
18545,4863
71199,8455
39766,5014
78530,2686
66087,4009
73840,8806
59384,1154
56005,2409
